말머리,제목,닉네임,본문,글 링크
[💭일반],아 바보삼 그립감 지리긴하네,포브쿤,"
그래서 프로 언제  - dc official App
","/mgallery/board/view/?id=mouse&no=655111&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],파마무 포세이돈 16마넌에 살만함?,젖은피자,"
당근에 있던데 먹을만한가?- dc official App
","/mgallery/board/view/?id=mouse&no=655110&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],콘울 샀는데 어떰?,치노,"
이번에 304 무선 휠 고장내고 피트 교체했 는데 존내 뻑뻑해서 사용을 못하겠어서 임시로 502 히로 쓰고있는데 더블클릭+ 존나 무거워서 마우스 중고로 하나 임시+존버용으로 쓰려고 콘울 중고로 하나 샀는데 괜찮음 아직? 쉘 모양 맘에 들어서 이거 맘에 들면 이걸로 콘울 무선 존버할거임근데 중고라 더블클릭 걱정되네 
","/mgallery/board/view/?id=mouse&no=655109&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],하티플 청소 어케함 ?? ㅠㅠ,ㅇㅇ,"
먼지 넘 많은데 ㅠㅠ
","/mgallery/board/view/?id=mouse&no=655108&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],나는 왜 4k 리시버를 샀을까?,illillili,"
뭔 차이인지 전혀 모르겠다 하아...  - dc official App
","/mgallery/board/view/?id=mouse&no=655107&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],프라임 유선이 정말 잘만든새끼야,xehc,"
최신주차는 클릭압도 가벼움  딱 적당한 무게 70그램 단점은 좆같은 케이블과 접착력 좆구린 피트뿐임   - dc official App
","/mgallery/board/view/?id=mouse&no=655106&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],체리 키보드 샀는데,ㅇㅇ,"
Cherry G80-3000S TKL 이거 샀는데 소프트웨어 꼭 써야됨? led도 없는 제품이고 매크로도 사용을 안해서..쓰는거랑 안쓰는거랑 성능적으로 달라?
","/mgallery/board/view/?id=mouse&no=655105&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],dpi 400쓰면은 인터넷 갤질할때 안불편해?,온노기,"
게임할때만 400쓰는건가 궁금해서 물어봄.. 
","/mgallery/board/view/?id=mouse&no=655104&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],4k 안쓸꺼면서 4k동글 왜사는거임 ㅋㅋㅋ,ㅇㅇ,"
1k 쓰는데 4k 동글을 왜삼ㅋㅋ 호구임?144hz 모니터로 60hz로 설정해서 돌리는거랑 뭐가달라성능차이 느낀다? ㅈㄹㄴㄴ
","/mgallery/board/view/?id=mouse&no=655103&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],F1 MOBA VS 지슈라ㅓ,ㅇㅇ,"
일본에서 지슈라샀는데 저번에 주문한 F1 MOBA가 와버림 .. 뭐부터써야할까
","/mgallery/board/view/?id=mouse&no=655102&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],어떻게 펄사 출시 미룬게 실베 ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅇㅇ윾동,"
좃지텍같은 곳도 아니라 댓글도 안달리네 ㅋㅋㅋㅋㅋㅋ
","/mgallery/board/view/?id=mouse&no=655101&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],지슈라 마렵다,ㅇㅇ,"
잊을만하면 떠오르는 그년..
","/mgallery/board/view/?id=mouse&no=655100&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],페르세우스 쥑이네,ㅇㅇ,"
데브삼 피트 아무리 교체해도 너무 날리는 느낌이라서패드를 gsr루즈에서 페르세우스 에센셜로 교체함브레이킹감 적당하고 좋은듯 데브삼이 ㅈㄴ 날리는 느낌이라서 그걸 잡아줌다른 마우스로 사용하면 브레이킹감 더 심해지긴할듯 gsr2, gsr 보다 더 브레이킹한거 같아 패드여행도 6번정도 했는데 끝난듯
","/mgallery/board/view/?id=mouse&no=655099&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],a950g 연결하면 렉 걸리는거 정상임..?,나쁜놈,"
마우스가 움직이긴 하는데 1초에 한번씩 끊킴이거 잘못 뽑은거임?게임은 발로란트함
","/mgallery/board/view/?id=mouse&no=655098&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],마우스패드 큰거 추천점,ㅇㅇ,"
qck 3xl 쓰는데 너무 오래쓰기도 했고 더러워서 바꿀라고 하는데 장패드는 아닌데 큰 패드 추천 점..
","/mgallery/board/view/?id=mouse&no=655097&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],짱마우스 비대칭 없음?,ㅇㅇ,"
데스에더 v2x 더블클릭와서 바꾸려는데짱마우스는 비대칭이 안 보이네
","/mgallery/board/view/?id=mouse&no=655095&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],공격상어 한달도안썼는데 벌써 번들거리려하네,ㅇㅇ,"
첫 충전한거 다 쓰기도 전인데 ㅋㅋㅋㅋ처음 코팅 촉감 나름 ㄱㅊ했는데싸구려는 싸구려구나
","/mgallery/board/view/?id=mouse&no=655094&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],"오늘 일렉가서 데스에더v3 사려는데, 일련번호 확인??",감차,"
뭐 일련번호 같은거 확인이 가능하다는데, 몇 년도에 생산된건지그거 어떻게 확인가능한가여 ?어제 일렉 가보니 투명한 통에 데스에더 박스가 들어가있더라구요이 상태로 확인가능?
","/mgallery/board/view/?id=mouse&no=655093&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],유무선 레이턴시가 30배 정도 차이남,ㅇㅇ,"
유선 0.15ms 2.4ghz 무선 이상적 환경에서 3-5ms그리고 이번에 나오는 짱개칩이 0.25ms 정도 나온다 하고
","/mgallery/board/view/?id=mouse&no=655092&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],유키에임 지금 내부고발터졌는데 키보드 ㄱㅊ나,리리아,"
https://rentry.co/yukiaimstatementjp지금도 아니다 10일 지났는데 괜찮으려나 뭐 제대로 물량 들어오기나할까 대충 요약하자면 miyu 라는 놈이 원래 자기가 유키에임 처음 설립했다고 주장함miyu가 초창기에 지 혼자서는 관리어려우니까 유키에임 디152스코드, 트15위터에 관리자를 모집함 그 중 최고관리자 2명(senzeeh, huddled)이 miyu를 통수치고 회사 꿀꺽하려고 각재다가 폭로당함 
","/mgallery/board/view/?id=mouse&no=655091&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],녹화할때 손캠 찍은거,PureJin,"
내가 봐도 그립 좆같긴하구만...- dc official App
","/mgallery/board/view/?id=mouse&no=655090&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],파마무 오더넘버 232인데 언제받녀..,ㅇㅇ,"
10월초에 보냈으면 진작 쓰고있었겠네 
","/mgallery/board/view/?id=mouse&no=655089&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],중고로 바슈라 8만에 가져왔다,backlot,"
5달쯤 쓴거라는데 완전히 믿을수는 없겠지만 문제는 없으니 좋고손크기 22 12 11쯤이였나 롤할땐 핑거로 잡음지슈라 덥클나서 스위치 교체도 했었는데 이번엔 휠튐이 심해져서 그냥 바꿈롤하면 102나 304쓰라고하는데 아무리 핑거라도 저 손으로 102잡으면 손가락 찝혀서 안됨1 이미지 순서 ON2 이미지 순서 ON3 이미지 순서 ON4 이미지 순서 ON5 이미지 순서 ON
","/mgallery/board/view/?id=mouse&no=655088&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],하티플 ㅅ11발,ㅇㅇ,"
펌웨어 업뎃 시키는대로 다했는데 안움직이네 이 미친마우스 
","/mgallery/board/view/?id=mouse&no=655087&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],헤이스트 보유 g102 어제 구매 했는데 잠자리 사볼까?,챙겨,"
티몬에 모바 리시버 포함 5.8 떴던데고민이네
","/mgallery/board/view/?id=mouse&no=655086&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],dpi 저감도 중감도 고감도 기준이 뭐임,온노기,"
1600 쓰면 중감돈가 
","/mgallery/board/view/?id=mouse&no=655085&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],세계적인 선수들은 대부분,ㅇㅇ,"
지슈라쓰고 간간히 조위 벡시 레이저더라..펄사 람주 xtrfy zaopin? 지울브스 엔드게임 글로리어스 이런회사들처럼작은 마우스만드는 회사들꺼 쓰는 프로는 안보이던데그냥 별로 바꿀필요성을 못느껴서 그런건가 아니면 손작은 프로게이머가 별로없나
","/mgallery/board/view/?id=mouse&no=655084&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
[💭일반],솔직히 가벼운 파라코드에 번지 쓰면,광붕이기야노데스웅차,"
40센치 이하 감도까진 무선이나 다를거 없음 나같이 35 이하에 특이취향이면 통고무선도 상관없고 
","/mgallery/board/view/?id=mouse&no=655083&search_head=0&page=1
"
말머리,제목,닉네임,본문,글 링크
